# ---------- 01 Per-Channel Summary ----------
chA: 3 chB: 4 | avgC: 5.02709 avgA: 102.275 avgB: 14.6862 MNR: 0.218736 GNR: 0.0830823 DICE: 0.0565562

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 9.54648 avgA: 21.6576 avgB: 169.263 MNR: 0.400818 GNR: 0.149523 DICE: 0.100365
chA: 0 chB: 2 | avgC: 15.102 avgA: 21.6576 avgB: 90.4331 MNR: 0.658494 GNR: 0.31435 DICE: 0.245855
chA: 0 chB: 3 | avgC: 14.4127 avgA: 21.6576 avgB: 272.077 MNR: 0.634495 GNR: 0.18025 DICE: 0.098619
chA: 0 chB: 4 | avgC: 7.10884 avgA: 21.6576 avgB: 60 MNR: 0.300638 GNR: 0.178745 DICE: 0.156921
chA: 1 chB: 2 | avgC: 31.0202 avgA: 167.96 avgB: 89.7506 MNR: 0.331795 GNR: 0.248554 DICE: 0.237047
chA: 1 chB: 3 | avgC: 137.47 avgA: 167.96 avgB: 269.989 MNR: 0.821901 GNR: 0.644595 DICE: 0.625448
chA: 1 chB: 4 | avgC: 24.3753 avgA: 167.96 avgB: 59.5461 MNR: 0.396999 GNR: 0.239752 DICE: 0.212145
chA: 2 chB: 3 | avgC: 54.2944 avgA: 89.7506 avgB: 269.989 MNR: 0.591362 GNR: 0.341987 DICE: 0.29652
chA: 2 chB: 4 | avgC: 17.5573 avgA: 89.7506 avgB: 59.5461 MNR: 0.282019 GNR: 0.228954 DICE: 0.223379
chA: 3 chB: 4 | avgC: 42.5618 avgA: 269.989 avgB: 59.5461 MNR: 0.705779 GNR: 0.330421 DICE: 0.255282

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 9.21041 avgA: 21.2986 avgB: 167.287 MNR: 0.399471 GNR: 0.153019 DICE: 0.105112
chA: 0 chB: 2 | avgC: 14.1131 avgA: 21.2986 avgB: 80.3846 MNR: 0.639837 GNR: 0.32334 DICE: 0.261646
chA: 0 chB: 3 | avgC: 14.3982 avgA: 21.2986 avgB: 258.871 MNR: 0.654206 GNR: 0.191645 DICE: 0.107753
chA: 0 chB: 4 | avgC: 6.76018 avgA: 21.2986 avgB: 52.448 MNR: 0.314314 GNR: 0.19515 DICE: 0.174475
chA: 1 chB: 2 | avgC: 27.3559 avgA: 166.75 avgB: 80.1261 MNR: 0.333626 GNR: 0.237295 DICE: 0.222699
chA: 1 chB: 3 | avgC: 136.351 avgA: 166.75 avgB: 258.038 MNR: 0.820777 GNR: 0.654105 DICE: 0.637075
chA: 1 chB: 4 | avgC: 22.4617 avgA: 166.75 avgB: 52.3131 MNR: 0.419922 GNR: 0.238602 DICE: 0.205024
chA: 2 chB: 3 | avgC: 46.7146 avgA: 79.9618 avgB: 257.472 MNR: 0.576131 GNR: 0.323696 DICE: 0.276682
chA: 2 chB: 4 | avgC: 13.8831 avgA: 79.9618 avgB: 52.2 MNR: 0.258702 GNR: 0.208992 DICE: 0.203796
chA: 3 chB: 4 | avgC: 38.7596 avgA: 257.472 avgB: 52.2 MNR: 0.733171 GNR: 0.331347 DICE: 0.250321

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.455764 avgA: 5.34853 avgB: 46.2386 MNR: 0.0564445 GNR: 0.0242636 DICE: 0.0186484
chA: 0 chB: 2 | avgC: 1.68717 avgA: 5.3369 avgB: 34.0481 MNR: 0.225629 GNR: 0.0910438 DICE: 0.0643658
chA: 0 chB: 3 | avgC: 1.60695 avgA: 5.3369 avgB: 117.257 MNR: 0.283677 GNR: 0.0540645 DICE: 0.0221298
chA: 0 chB: 4 | avgC: 0.48248 avgA: 5.3531 avgB: 17.5606 MNR: 0.0506597 GNR: 0.0276132 DICE: 0.0232935
chA: 1 chB: 2 | avgC: 2.64027 avgA: 40.7715 avgB: 32.0611 MNR: 0.0983582 GNR: 0.05653 DICE: 0.0488713
chA: 1 chB: 3 | avgC: 23.9593 avgA: 40.7715 avgB: 107.09 MNR: 0.50539 GNR: 0.237564 DICE: 0.190586
chA: 1 chB: 4 | avgC: 2.26484 avgA: 41.0571 avgB: 16.1416 MNR: 0.105273 GNR: 0.0605586 DICE: 0.0521379
