# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 2 | avgC: 48.8299 avgA: 110.715 avgB: 161.164 MNR: 0.407344 GNR: 0.334302 DICE: 0.326921
chA: 0 chB: 3 | avgC: 28.6266 avgA: 110.715 avgB: 241.39 MNR: 0.240582 GNR: 0.162586 DICE: 0.150537
chA: 0 chB: 4 | avgC: 17.0027 avgA: 110.715 avgB: 166.376 MNR: 0.135507 GNR: 0.108665 DICE: 0.105678
chA: 0 chB: 5 | avgC: 12.3682 avgA: 110.715 avgB: 228.243 MNR: 0.0992958 GNR: 0.0692322 DICE: 0.0648486
chA: 1 chB: 2 | avgC: 23.8772 avgA: 162.247 avgB: 161.164 MNR: 0.148562 GNR: 0.135456 DICE: 0.134499
chA: 1 chB: 3 | avgC: 101.086 avgA: 162.247 avgB: 241.39 MNR: 0.599646 GNR: 0.485044 DICE: 0.473029
chA: 1 chB: 4 | avgC: 35.6832 avgA: 162.247 avgB: 166.376 MNR: 0.220985 GNR: 0.199813 DICE: 0.198348
chA: 1 chB: 5 | avgC: 4.07908 avgA: 162.247 avgB: 228.243 MNR: 0.0240047 GNR: 0.0193551 DICE: 0.0188352
chA: 2 chB: 3 | avgC: 38.3448 avgA: 161.164 avgB: 241.39 MNR: 0.226049 GNR: 0.182788 DICE: 0.178015
chA: 2 chB: 4 | avgC: 29.2707 avgA: 161.164 avgB: 166.376 MNR: 0.185922 GNR: 0.166063 DICE: 0.164503
chA: 2 chB: 5 | avgC: 10.8014 avgA: 161.164 avgB: 228.243 MNR: 0.0608492 GNR: 0.0502876 DICE: 0.0491875
chA: 3 chB: 4 | avgC: 53.3799 avgA: 241.39 avgB: 166.376 MNR: 0.315378 GNR: 0.25402 DICE: 0.246994
chA: 3 chB: 5 | avgC: 7.28315 avgA: 241.39 avgB: 228.243 MNR: 0.0321061 GNR: 0.0296495 DICE: 0.0294832
chA: 4 chB: 5 | avgC: 5.52609 avgA: 166.376 avgB: 228.243 MNR: 0.031639 GNR: 0.0260136 DICE: 0.0254097

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.3622 avgA: 116.785 avgB: 167.104 MNR: 0.140317 GNR: 0.115907 DICE: 0.113369
chA: 0 chB: 2 | avgC: 52.6101 avgA: 116.785 avgB: 163.953 MNR: 0.419997 GNR: 0.350928 DICE: 0.344408
chA: 0 chB: 3 | avgC: 29.8149 avgA: 116.785 avgB: 245.982 MNR: 0.244816 GNR: 0.16754 DICE: 0.155714
chA: 0 chB: 4 | avgC: 18.7948 avgA: 116.785 avgB: 172.86 MNR: 0.148268 GNR: 0.120337 DICE: 0.117352
chA: 0 chB: 5 | avgC: 13.1424 avgA: 116.816 avgB: 234.74 MNR: 0.100001 GNR: 0.0706883 DICE: 0.0665104
chA: 1 chB: 2 | avgC: 25.172 avgA: 167.104 avgB: 163.953 MNR: 0.15168 GNR: 0.140258 DICE: 0.139432
chA: 1 chB: 3 | avgC: 106.446 avgA: 167.104 avgB: 245.982 MNR: 0.612633 GNR: 0.499964 DICE: 0.488639
chA: 1 chB: 4 | avgC: 36.9467 avgA: 167.104 avgB: 172.86 MNR: 0.223879 GNR: 0.202286 DICE: 0.200714
chA: 1 chB: 5 | avgC: 4.40989 avgA: 167.147 avgB: 234.74 MNR: 0.0254083 GNR: 0.0204382 DICE: 0.0198738
chA: 2 chB: 3 | avgC: 38.0717 avgA: 163.953 avgB: 245.982 MNR: 0.218713 GNR: 0.17681 DICE: 0.172186
chA: 2 chB: 4 | avgC: 30.8087 avgA: 163.953 avgB: 172.86 MNR: 0.18812 GNR: 0.172145 DICE: 0.171045
chA: 2 chB: 5 | avgC: 11.5197 avgA: 163.993 avgB: 234.74 MNR: 0.0649279 GNR: 0.0532361 DICE: 0.0520218
chA: 3 chB: 4 | avgC: 54.4897 avgA: 245.982 avgB: 172.86 MNR: 0.310724 GNR: 0.252933 DICE: 0.2465
chA: 3 chB: 5 | avgC: 6.93803 avgA: 246.038 avgB: 234.74 MNR: 0.0298349 GNR: 0.0276383 DICE: 0.0274994
chA: 4 chB: 5 | avgC: 5.26556 avgA: 172.904 avgB: 234.74 MNR: 0.0280966 GNR: 0.0234461 DICE: 0.0229823

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 15.6052 avgA: 112.452 avgB: 162.278 MNR: 0.129925 GNR: 0.107083 DICE: 0.104679
chA: 0 chB: 2 | avgC: 50.2087 avgA: 112.452 avgB: 162.946 MNR: 0.410179 GNR: 0.338139 DICE: 0.331063
chA: 0 chB: 3 | avgC: 28.675 avgA: 112.452 avgB: 246.901 MNR: 0.244347 GNR: 0.16366 DICE: 0.150966
chA: 0 chB: 4 | avgC: 17.9573 avgA: 112.452 avgB: 171.577 MNR: 0.146047 GNR: 0.117183 DICE: 0.114023
chA: 0 chB: 5 | avgC: 12.9321 avgA: 112.452 avgB: 235.514 MNR: 0.105221 GNR: 0.0723247 DICE: 0.0673958
chA: 1 chB: 2 | avgC: 24.0671 avgA: 162.278 avgB: 162.946 MNR: 0.148383 GNR: 0.135568 DICE: 0.134645
chA: 1 chB: 3 | avgC: 102.412 avgA: 162.278 avgB: 246.901 MNR: 0.604348 GNR: 0.483764 DICE: 0.470513
chA: 1 chB: 4 | avgC: 36.5891 avgA: 162.278 avgB: 171.577 MNR: 0.22518 GNR: 0.204572 DICE: 0.203116
chA: 1 chB: 5 | avgC: 4.33832 avgA: 162.278 avgB: 235.514 MNR: 0.0272007 GNR: 0.0211921 DICE: 0.0204543
chA: 2 chB: 3 | avgC: 39.2709 avgA: 162.946 avgB: 246.901 MNR: 0.229891 GNR: 0.184524 DICE: 0.179441
chA: 2 chB: 4 | avgC: 30.1345 avgA: 162.946 avgB: 171.577 MNR: 0.185968 GNR: 0.169938 DICE: 0.168859
chA: 2 chB: 5 | avgC: 12.0478 avgA: 162.946 avgB: 235.514 MNR: 0.0724783 GNR: 0.058164 DICE: 0.0565491
chA: 3 chB: 4 | avgC: 56.9875 avgA: 246.901 avgB: 171.577 MNR: 0.334157 GNR: 0.269855 DICE: 0.262613
chA: 3 chB: 5 | avgC: 6.34973 avgA: 246.901 avgB: 235.514 MNR: 0.0268267 GNR: 0.0247221 DICE: 0.0245817
chA: 4 chB: 5 | avgC: 5.45435 avgA: 171.577 avgB: 235.514 MNR: 0.0304573 GNR: 0.0251895 DICE: 0.0246323

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 16.9462 avgA: 114.763 avgB: 165.514 MNR: 0.140102 GNR: 0.115456 DICE: 0.112961
chA: 0 chB: 2 | avgC: 51.7027 avgA: 114.763 avgB: 162.111 MNR: 0.420693 GNR: 0.350791 DICE: 0.344307
chA: 0 chB: 3 | avgC: 28.8391 avgA: 114.763 avgB: 244.296 MNR: 0.237255 GNR: 0.16246 DICE: 0.151141
chA: 0 chB: 4 | avgC: 18.5266 avgA: 114.763 avgB: 169.703 MNR: 0.150853 GNR: 0.123084 DICE: 0.120225
chA: 0 chB: 5 | avgC: 13.6443 avgA: 114.763 avgB: 235.107 MNR: 0.110964 GNR: 0.0766688 DICE: 0.0715773
chA: 1 chB: 2 | avgC: 24.9054 avgA: 165.514 avgB: 162.111 MNR: 0.152767 GNR: 0.139967 DICE: 0.13904
chA: 1 chB: 3 | avgC: 106.214 avgA: 165.514 avgB: 244.296 MNR: 0.623257 GNR: 0.504964 DICE: 0.492459
