========== 01 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
KAZE Extract                     120.968     121.796      10.709      90.892     193.393        3669
SIFT Extract                      34.475      31.475       9.408      22.547      89.526        3669
Correlation                        5.002       5.033       1.078       2.684      10.430        3654
AKAZE Extract                     26.154      25.140       5.284      16.759      50.365        3669
BRISK Extract                     52.692      51.848       8.820      32.550      78.762        3669
ORB Extract                        8.378       8.251       1.191       5.764      15.186        3669

========== 18 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          40.372      40.821       8.329      17.969      68.248        3654
Total Init                      3747.160    3747.160       0.000    3747.160    3747.160           1
Pipeline                         179.025     179.402      16.732     134.530     325.182        3669
SuperPoint Extract               127.040     132.801      21.449      66.355     288.904        3669
KAZE Extract                     124.427     124.522       9.873      91.001     187.151        3669
SIFT Extract                      33.887      32.648       7.804      21.852      85.682        3669
Correlation                        5.154       5.227       1.145       2.820       9.638        3654
AKAZE Extract                     25.285      24.510       4.938      16.780      41.436        3669
BRISK Extract                     52.124      51.329       8.590      32.573      83.108        3669
ORB Extract                        8.170       8.090       1.068       5.114      16.178        3669

========== 19 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          40.352      40.879       8.456      17.886      67.769        3654
Total Init                      3759.760    3759.760       0.000    3759.760    3759.760           1
Pipeline                         174.953     177.459      20.362     122.390     351.036        3669
SuperPoint Extract               123.076     130.497      22.485      64.997     301.279        3669
KAZE Extract                     116.819     113.167      11.874      97.305     189.222        3669
SIFT Extract                      33.822      29.822       9.669      23.157     100.100        3669
Correlation                        4.999       5.057       1.086       2.494       9.305        3654
AKAZE Extract                     26.640      26.538       5.250      17.278      45.617        3669
BRISK Extract                     53.257      52.480       8.615      32.632      81.506        3669
ORB Extract                        8.727       8.699       1.225       5.515      15.719        3669

========== 20 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          38.026      38.337       8.134      17.988      68.688        3654
Total Init                      3691.722    3691.722       0.000    3691.722    3691.722           1
Pipeline                         171.769     172.620      18.930     118.122     309.335        3669
SuperPoint Extract               127.315     129.720      17.025      72.250     277.112        3669
KAZE Extract                     112.133     109.852      10.341      93.119     182.990        3669
SIFT Extract                      34.263      30.142       9.524      23.545      93.353        3669
Correlation                        4.827       4.896       1.084       2.450       9.153        3654
AKAZE Extract                     26.821      27.054       5.495      17.300      48.872        3669
BRISK Extract                     53.390      52.576       8.688      32.602      79.045        3669
ORB Extract                        8.876       8.911       1.227       5.507      16.819        3669

