========== 01 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
name                                mean      median        rmse         min         max       count
Tracking                          43.526      44.862      10.622      17.953      78.177         782
Total Init                      4829.958    4829.958       0.000    4829.958    4829.958           1
Pipeline                         187.852     188.739      28.407     128.346     400.363         798
SuperPoint Extract               133.731     137.721      19.995      69.231     292.719         798
KAZE Extract                     120.213     118.855      12.249      99.587     175.785         798
SIFT Extract                      34.513      30.441      10.438      22.794      83.026         798
Correlation                        5.566       5.805       1.729       1.766      11.355         782
AKAZE Extract                     26.778      26.119       5.627      17.076      45.985         798
BRISK Extract                     49.668      49.583       9.025      22.229      71.641         798
ORB Extract                        8.473       8.351       1.235       5.627      15.276         798

