========== 01 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Total Init                       344.100     344.100       0.000     344.100     344.100           1
Pipeline                         153.958     148.724      27.986      96.403     366.754        3682
SuperPoint Extract               113.148     109.820      24.978      62.063     268.055        3682
KAZE Extract                     109.106     108.787      11.836      81.919     183.305        3682
Correlation                        1.842       1.770       0.698       0.176       3.882        3680
AKAZE Extract                     24.729      23.164       5.773      15.966      45.786        3682
SIFT Extract                      31.490      28.190       8.991      20.892      81.396        3682
BRISK Extract                     80.383      80.466      17.526      22.499     131.591        3682
ORB Extract                        9.275       9.262       1.336       5.210      17.698        3682

========== 16 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          24.166      19.109      11.656       5.212      57.100        3680
Total Init                       375.668     375.668       0.000     375.668     375.668           1
Pipeline                         150.131     141.644      26.732      95.274     371.395        3682
SuperPoint Extract               111.621     107.753      24.640      56.456     286.969        3682
KAZE Extract                     110.031     109.604      11.452      82.331     186.473        3682
Correlation                        1.656       1.582       0.666       0.491       3.999        3680
AKAZE Extract                     25.119      23.562       5.906      15.173      80.365        3682
SIFT Extract                      31.264      28.304       8.564      20.963      95.542        3682
BRISK Extract                     80.554      80.526      18.175      19.794     131.377        3682
ORB Extract                        9.254       9.233       1.357       5.279      15.503        3682

========== 17 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          26.649      20.744      13.299       5.572      66.142        3680
Total Init                       348.018     348.018       0.000     348.018     348.018           1
Pipeline                         154.186     144.087      27.457      97.086     353.601        3682
SuperPoint Extract               112.113     108.362      25.262      56.904     288.686        3682
KAZE Extract                     111.410     112.617      10.823      82.799     190.441        3682
SIFT Extract                      31.919      29.184       8.886      21.758      82.252        3682
Correlation                        1.813       1.780       0.682       0.121       4.303        3680
AKAZE Extract                     24.475      22.501       5.770      16.005      54.327        3682
BRISK Extract                     80.511      80.149      17.683      20.625     134.321        3682
ORB Extract                        9.139       9.153       1.286       5.311      16.032        3682

========== 18 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          26.423      21.569      12.181       5.454      60.647        3680
Total Init                       355.420     355.420       0.000     355.420     355.420           1
Pipeline                         155.374     147.790      25.509      96.812     379.208        3682
SuperPoint Extract               111.274     107.212      26.592      59.516     264.892        3682
KAZE Extract                     111.818     113.042      10.547      78.124     187.421        3682
Correlation                        1.783       1.698       0.644       0.513       4.710        3680
AKAZE Extract                     23.916      22.364       5.309      15.618      48.910        3682
SIFT Extract                      31.511      30.554       7.492      20.953      87.211        3682
BRISK Extract                     79.126      78.911      17.621      21.060     132.161        3682
ORB Extract                        8.898       8.839       1.266       5.159      15.451        3682

========== 19 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          25.903      20.333      12.602       5.060      61.605        3680
Total Init                       352.493     352.493       0.000     352.493     352.493           1
Pipeline                         153.939     146.805      27.093      98.258     345.607        3682
SuperPoint Extract               112.709     108.768      26.646      56.187     272.200        3682
KAZE Extract                     110.702     110.751       9.735      84.022     208.298        3682
Correlation                        1.792       1.701       0.673       0.516       4.256        3680
AKAZE Extract                     24.121      22.657       5.497      15.372      46.414        3682
SIFT Extract                      30.446      28.445       7.324      21.366      82.594        3682
BRISK Extract                     79.071      78.744      17.510      20.630     146.208        3682
ORB Extract                        8.901       8.888       1.242       5.326      13.300        3682

========== 20 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          26.784      21.235      12.676       5.346      62.336        3680
Total Init                       355.359     355.359       0.000     355.359     355.359           1
Pipeline                         156.374     148.109      26.416     114.687     347.287        3682
SuperPoint Extract               113.034     109.373      27.370      58.411     288.574        3682
KAZE Extract                     110.709     111.440       9.574      80.700     180.652        3682
SIFT Extract                      30.354      29.133       5.967      21.304      66.176        3682
Correlation                        1.821       1.725       0.664       0.175       4.320        3680
AKAZE Extract                     23.182      21.392       5.401      15.517      48.666        3682
BRISK Extract                     78.706      78.416      17.305      20.681     135.675        3682
ORB Extract                        8.889       8.844       1.259       5.155      14.568        3682

